timestamp,latitude,longitude,altitude,velocity_north,velocity_east,velocity_down,roll,pitch,yaw,acc_bias_x,acc_bias_y,acc_bias_z,gyro_bias_x,gyro_bias_y,gyro_bias_z,latitude_cov,longitude_cov,altitude_cov,velocity_n_cov,velocity_e_cov,velocity_d_cov,roll_cov,pitch_cov,yaw_cov,acc_bias_x_cov,acc_bias_y_cov,acc_bias_z_cov,gyro_bias_x_cov,gyro_bias_y_cov,gyro_bias_z_cov,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,pressure,freeair,mag_anomaly
2025-06-18T15:09:26.600Z,39.021786684170365,-76.97673043236136,61.0,0.0,0.0,0.0,0.1025227796286344,-1.0710195899009705,1.7868194043636323,0.001,0.001,0.001,0.001,0.001,0.001,2.1081591006437136e-11,2.1081591006437136e-11,1.0,0.0003999999821186043,0.0003999999821186043,0.0003999999821186043,1e-9,1e-9,1e-9,0.001,0.001,0.001,0.001,0.001,0.001,-0.37055882476270197,8.656157732009888,4.543334364891052,-0.1805208351463079,0.052286600403021986,-0.0582661837339401,-70.16646881103516,-35.12074966430664,-8.303929758071899,1002.1102752685547,0.0027276101285966803,78.90340736048623
2025-06-18T15:09:27.600Z,39.02176089525355,-76.97676338261373,56.475785387669006,-6.259869055372955,-5.699549487658065,-11.152625736765476,1.0900414854266502,5.636736576231351,0.510414092095389,0.001000000000388468,0.0010000000004168896,0.001000000000388468,0.0010000000004026788,0.0010000000004026788,0.0010000000004026788,1.00002108159639e-6,1.0000210816073399e-6,0.8336139546014935,0.0014000965842987962,0.001400001272946545,0.0014000717376757505,0.00001000146768517113,0.000010000294527805515,0.000010002118636656341,0.0010010000000000008,0.0010010000000000004,0.0010010000000000008,0.0010000100000000006,0.0010000100000000006,0.0010000100000000006,-5.415183880153456,4.300297551707217,3.0493035470059047,-0.0709840904654641,-0.22285892494101284,-1.1827137504878795,-51.051219739412005,-50.49515673988744,-34.28264115986071,1002.0369567871094,-2.2222495902232677,79.56933674508406
2025-06-18T15:09:28.600Z,39.021645107919944,-76.97689957366903,39.00390691803093,-2.432052236990955,-17.853866115250334,-31.695641529597683,1.6413750374883287,0.3778185509367283,6.187867480642389,0.00100000000071556,0.0010000000004026788,0.0010000000006729274,0.0009999999999903216,0.0009999999999832161,0.0009999999999832161,2.0000210816644703e-6,2.000021081275006e-6,0.7162105539719443,0.004855159243599357,0.003781712704293683,0.0034585276034794906,0.000018737308451584353,0.000018824928210061304,0.000027957869694679446,0.001002,0.0010019999999999994,0.0010020000000000003,0.0010000199999999995,0.0010000199999999995,0.0010000199999999995,2.2032329847808767,-4.734247005939901,8.999821590423196,0.9633368631597307,-0.99371511435549,-2.6528828511242124,-42.16807956695557,-47.38357925415039,-24.81845955848694,1001.9251098632812,0.6266439284350627,68.11240402314529
2025-06-18T15:09:29.600Z,39.021441588967186,-76.97716040942974,9.61925031040614,-4.883427806634593,-27.158400647732783,-41.8664919800708,1.645683015151825,0.3724607082721048,6.189579975268275,0.001000000000361024,0.0010000000000189857,0.0010000000004178674,0.0010000000001312058,0.0010000000002306818,0.0010000000002875252,3.0000210800607936e-6,3.0000210791650113e-6,0.6331712021233278,0.010660032869101879,0.004539795554022329,0.007440822095195884,0.000028639655973321545,0.000028836503563550565,0.00003787480315906892,0.001002999999999999,0.001002999999999999,0.0010029999999999998,0.0010000299999999998,0.0010000299999999998,0.0010000299999999998,-1.28218222802949,-0.28030607805068825,9.519038127898497,0.005266031815912934,0.003489059571659222,0.004996238460664633,-5.40032992362976,-37.29112911224365,-6.157339787483215,1002.1366424560547,-0.16828276835761294,38.17984881901486
2025-06-18T15:09:30.600Z,39.020936687263024,-76.97753437929596,-25.99950251831084,-7.505768141576024,-36.69656465130477,-51.86532682571575,1.6344841765823699,0.37420723020719315,6.182890056218413,0.0010000000003197785,0.0009999999999337206,0.0010000000006466282,0.00100000000047058,0.0009999999997663545,0.0010000000003995257,4.0000210639443355e-6,4.000021072342484e-6,0.5817719742969298,0.021977986993222207,0.0057045682864625665,0.015448491477446162,0.00003860993528455872,0.000038832837935300977,0.00004786959692182956,0.0010039999999999982,0.0010039999999999984,0.0010039999999999993,0.0010000399999999985,0.0010000399999999985,0.0010000399999999987,-1.3201527605060372,-0.3822766224146079,9.719851659774362,-0.0009550344569290858,-0.0010607867843915667,-0.0009208939539277302,-5.077639865875244,-37.356399345397946,-6.240909814834595,1002.1532287597656,0.04014524273773707,38.21293104985366
2025-06-18T15:09:31.600Z,39.019731662155635,-76.97803445645702,-66.59687148607894,-10.296539733422039,-46.33767733133436,-60.93401193376389,1.6024610760528049,0.3792244004114443,6.168463540682959,0.0010000000004783116,0.000999999999791612,0.0010000000005919985,0.001000000000254847,0.0009999999996213192,0.0010000000006740672,5.00002098994048e-6,5.000021056787417e-6,0.5699806964633759,0.04072298559369239,0.007423167459336514,0.02881934145011487,0.00004839122123059947,0.000048825760065034756,0.00005783119566243918,0.0010049999999999987,0.0010049999999999987,0.0010049999999999996,0.0010000499999999997,0.0010000499999999995,0.0010000499999999997,-1.3213471208876746,-0.3955628671269005,9.70476677824257,-0.001419853706732622,-0.000803659240910449,-0.0008571270250568731,-5.06452488899231,-37.30302453041077,-6.157187342643738,1002.14208984375,0.02685645153532023,38.145408107133356
2025-06-18T15:09:32.600Z,39.01717552985082,-76.97868703162345,-108.74411063724858,-13.26686148751394,-56.19654342846656,-67.68600421504775,1.5281985336647352,0.384955140634985,6.139701789737013,0.0010000000004374578,0.0010000000000047748,0.0010000000003664035,0.0010000000003805214,0.0009999999994268049,0.0010000000004780339,6.000020757300467e-6,6.000021027208755e-6,0.6142025452165328,0.068923162525805,0.009773295173310896,0.048162933417926,0.00005738899273121185,0.00005879609189297084,0.0000676323404134056,0.0010059999999999976,0.0010059999999999976,0.0010060000000000002,0.0010000599999999992,0.0010000599999999984,0.0010000599999999992,-1.3251764290470034,-0.35984760485734235,9.695163601344893,-0.0012868173859923412,-0.002402629043418302,0.0059798365399977,-4.9824799537658695,-37.36066913604736,-6.256769871711731,1002.1396942138672,0.01743663555916437,38.20717236353105
2025-06-18T15:09:33.600Z,39.01261067748217,-76.97952962907381,-146.35100238142962,-16.96144636906401,-65.91292505939163,-69.80937636103405,1.3227963089158268,0.3987026963079523,5.95697591683514,0.0010000000005510492,0.0010000000002321485,0.0010000000002831305,0.0010000000004938053,0.000999999999331446,0.0010000000006501247,7.0000201937424335e-6,7.000020977436947e-6,0.7312432409385587,0.10712958207521533,0.01343815967180526,0.07210067717125634,0.00006642359508588733,0.00006817721370916019,0.00007744369013557392,0.0010069999999999977,0.0010069999999999977,0.0010069999999999994,0.0010000699999999983,0.0010000699999999983,0.0010000699999999983,-1.6289785871510112,-0.3548068962516311,9.562455462455382,-0.013979221064977898,-0.12929585503729482,-0.016891156235489316,-0.22020999491214752,-36.000979614257815,-5.777919793128968,1002.8307952880859,-0.06689024724668267,36.4623052600072
2025-06-18T15:09:34.600Z,39.00538896680382,-76.98060958118262,-168.08098915716076,-20.299635442250406,-75.32660469579476,-64.99724066113507,1.0981666626034527,0.4118385378584605,5.894161916553087,0.0010000000004108539,0.0010000000001326725,0.0010000000001862055,0.0010000000006617847,0.0009999999994298207,0.0010000000004611776,8.00001909920159e-6,8.000020901147913e-6,0.9220501090221709,0.15751662660658988,0.018872317906595173,0.09684024295525134,0.00007244084928617251,0.00007814449142201325,0.00008715710366394194,0.0010079999999999967,0.0010079999999999965,0.0010079999999999993,0.0010000799999999987,0.0010000799999999985,0.0010000799999999985,-1.5216959128385332,-0.3496369185151991,9.71461436653109,0.0024040581182644596,-0.0030775746718435665,-0.00007237746766877468,-0.4623799883760512,-36.07356910705566,-5.898089861869812,1002.1482238769531,0.06653536047491757,36.55543680963788
2025-06-18T15:09:35.600Z,38.99612147017104,-76.98192510991628,-167.24889968269807,-21.632435127807543,-83.38077431715412,-53.409946543967436,0.8051974665560624,0.43167987150659365,5.826135287006647,0.0010000000002557531,0.0010000000003995476,0.0010000000004768642,0.0010000000007201347,0.0009999999993487872,0.001000000000220226,9.000017362972077e-6,9.000020793260065e-6,1.1551223297277355,0.22109081974332395,0.025980223448885086,0.11441701394841869,0.0000761955601691002,0.00008810786712884647,0.00009683513815303491,0.001008999999999996,0.0010089999999999958,0.0010089999999999988,0.0010000899999999984,0.0010000899999999982,0.0010000899999999982,-1.53000454402011,-0.33374540528668317,9.677534173965268,-0.0005783932532228952,-0.0011945877235232049,-0.0010841460423368723,-0.16713999165222046,-36.03940925598145,-5.882229828834534,1002.1351013183594,0.031370945601525826,36.5166249846925
2025-06-18T15:09:36.600Z,38.98618438898692,-76.98341178773182,-144.64948312523944,-19.994906097758257,-88.80736436990577,-37.949295465620715,0.49778737788459565,0.4491344198158709,5.764649407872708,0.0009999999999448085,0.0010000000001184617,0.0010000000008384522,0.0010000000004847815,0.0009999999991197588,0.0010000000004970406,0.000010000015046922539,0.000010000020652624724,1.3718808797361688,0.29666038270039735,0.03548719538286022,0.11810531068654813,0.00007812569841186815,0.00009807406012312108,0.00010652215460236492,0.001009999999999995,0.0010099999999999968,0.0010099999999999977,0.0010000999999999977,0.0010000999999999977,0.0010000999999999977,-1.5246587464811974,-0.3376846136752786,9.671818136214732,-0.00041628063497029465,-0.0011440562745155972,-0.000881757269615396,-0.18421999383717774,-36.111999320983884,-5.798049759864807,1002.1551361083984,0.02551064900496406,36.57491113780364
